artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Kontrafakt,KF ako Rolls,Reklama na Rap,2KUTDIXO3sxrR5FJw6AndI,0.772,0.737,6,-5.736,0,0.325,0.0,0.114,0.642,149.945,171200,4,SVK,EU,55.0
Pil C,ODSÚDENÍ NA ÚSPECH,VIDÍM JAK SA NA MŇA POZERÁŠ,07FyKVdi7YUlJry42sqFKm,0.797,0.362,10,-9.834,0,0.118,0.000134,0.104,0.311,101.955,181533,4,SVK,EU,58.0
Pil C,ODSÚDENÍ NA ÚSPECH,CARA MIA,7vChidrSd5frTCwEHtsEck,0.458,0.668,10,-6.548,1,0.231,0.0,0.325,0.57,92.417,190949,4,SVK,EU,57.0
Pil C,ODSÚDENÍ NA ÚSPECH,CHROME HEARTS FREESTYLE,4fnNRt3b36mTZK1o9QSWHK,0.825,0.5,5,-7.373,0,0.202,0.00245,0.226,0.392,92.017,214480,4,SVK,EU,56.0
Peter Pann,Stroj,Stroj,7sqLWtFToGysW2iGJC2IDA,0.762,0.823,9,-3.25,0,0.211,0.0,0.0958,0.342,121.958,210246,4,SVK,EU,56.0
Samey,Anarchia,breeze,1dkTyDuDkpgfTyti3REUVE,0.891,0.621,10,-8.104,0,0.258,0.0,0.422,0.584,129.99,186994,4,SVK,EU,59.0
DMS,HUHU,Tanečná pesnička,2lT4GhI1ol6w0OrW1drWvZ,0.862,0.626,0,-11.215,1,0.286,0.0,0.115,0.542,116.976,208646,4,SVK,EU,52.0
Pil C,ODSÚDENÍ NA ÚSPECH,DEŇ STRIEDA TMU,5Ggd7fuG8ya7OnMELNkDtF,0.751,0.58,4,-6.227,0,0.384,0.0,0.183,0.311,139.838,177640,4,SVK,EU,55.0
Pil C,ODSÚDENÍ NA ÚSPECH,ŽIVOT JE ZVLÁŠTNY,2KnTkLoq0MZKIR8GrCdUCH,0.771,0.6,9,-7.933,1,0.201,1.19e-05,0.222,0.317,94.998,159614,4,SVK,EU,55.0
DMS,HUHU,Ďalšia vlna,2Q61UcssSrHuCEpwmwj9ZB,0.749,0.555,8,-10.194,1,0.299,9.76e-05,0.66,0.351,98.91,196221,4,SVK,EU,54.0
Kontrafakt,KF ako Rolls,Vydržať,735kL7IzM3RPxKEYhzeJRJ,0.484,0.815,6,-5.75,0,0.341,0.0,0.429,0.295,164.085,202236,4,SVK,EU,54.0
Gleb,Hey G!,Hey G!,1i6Q39TzaIp6EkJL9k51qd,0.822,0.769,1,-5.227,1,0.221,9.83e-06,0.664,0.454,103.973,250000,4,SVK,EU,55.0
DMS,HUHU,Čalamáda,7cztzISDJriiWfFrSpNyv1,0.781,0.65,4,-10.31,0,0.148,1.34e-05,0.146,0.701,154.997,240589,4,SVK,EU,53.0
DMS,HUHU,Rampa,0N0ZJUbAR04XjQQYUwKg6D,0.682,0.768,11,-12.385,0,0.123,0.0,0.391,0.849,140.127,214286,4,SVK,EU,49.0
DMS,HUHU,Logdán,4PoKyatH01EgoKXjeGjNDK,0.862,0.529,6,-9.426,1,0.236,0.0,0.153,0.369,96.976,170722,4,SVK,EU,52.0
Kali,Kým Ťa Mám,Kým Ťa Mám,5sG87Pn6bqSuknFkRg57yz,0.736,0.892,4,-2.552,0,0.0639,0.0,0.126,0.628,103.996,179165,4,SVK,EU,52.0
Sima,Story,Jazero,2NLTNNTLrlIunoHr8KsnUb,0.765,0.648,9,-6.378,0,0.0941,1.67e-06,0.172,0.417,119.876,176000,4,SVK,EU,56.0
Sima,Story,Bohyne,68uIfEARNrfZvOw5c5bNuY,0.683,0.538,1,-6.737,1,0.0622,0.0,0.0952,0.467,138.12,167826,4,SVK,EU,54.0
MC 張天賦,記憶棉,記憶棉,1ZrnCyms7CBYsCvkkVIkt8,0.491,0.533,9,-7.594,1,0.0473,0.0,0.0944,0.214,149.856,273390,4,HKG,ASIA,68.0
MC 張天賦,反對無效,反對無效,2P5Eeh29qJrYa1T27cdL3B,0.703,0.607,0,-7.823,1,0.0409,0.0,0.112,0.819,118.973,228819,4,HKG,ASIA,67.0
MC 張天賦,時候不早,時候不早,433FK3gktWwmjkAPMSqVNO,0.737,0.483,9,-6.416,1,0.0311,0.0,0.293,0.514,83.966,220939,4,HKG,ASIA,65.0
COLLAR,Call My Name!,Call My Name!,16uUro9vLJogJJued0TFos,0.778,0.846,2,-6.418,1,0.129,0.0,0.327,0.576,98.014,203000,4,HKG,ASIA,60.0
Gareth.T,勁浪漫 超溫馨,勁浪漫 超溫馨,78TbTvePaJ6FFdwSMSXARy,0.618,0.379,6,-6.584,1,0.0321,0.0,0.0982,0.704,135.014,198526,3,HKG,ASIA,63.0
Keung To,"Dear My Friend,","Dear My Friend,",11IqNbLOD4s4nVYSuEttFR,0.646,0.452,0,-8.152,1,0.0307,0.0,0.117,0.266,94.566,232008,4,HKG,ASIA,64.0
Terence Lam,SEVEN,在空中的這一秒,5st8nBxaC9GX6Dl3VMXTbM,0.563,0.491,3,-8.256,1,0.0332,0.0,0.108,0.331,91.071,226646,4,HKG,ASIA,64.0
Edan 呂爵安,一表人才,一表人才,6zeblz6qaURo2JphS7XeFz,0.495,0.578,9,-5.2,1,0.0382,0.0,0.151,0.489,135.897,259309,4,HKG,ASIA,64.0
Edan 呂爵安,E先生 連環不幸事件,E先生 連環不幸事件,06sDxr7MbbwFyTP1f6rvvl,0.497,0.454,10,-9.386,1,0.0303,0.0,0.0966,0.323,164.012,268536,4,HKG,ASIA,63.0
Keung To,鏡中鏡,鏡中鏡,4umaD9GJDZMihD9mal7vd1,0.624,0.667,10,-6.938,0,0.111,3.42e-05,0.104,0.223,147.037,252525,4,HKG,ASIA,62.0
C AllStar,人類世,留下來的人,0NaXXkY7Lss2VF3sYISJXG,0.402,0.435,1,-8.005,1,0.0341,0.0,0.0866,0.35,157.204,244735,4,HKG,ASIA,57.0
