id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
5sZAD7tXC7RHVuiWWo0vqo,"Romeo and Juliet Ballet, Op. 64 (Excerpts): Romeo at Juliet's before Parting (No. 5 from Suite No. 2, Op. 64ter)",Prokofiev: Romeo and Juliet Ballet (Excerpts); Lieutenant Kijé Suite; Mussorgsky: Night On Bald Mountain [Great Performances],5t8xLw4EdF9RNIhpN4EYiL,"['Sergei Prokofiev', 'Dimitri Mitropoulos', 'New York Philharmonic']","['4kHtgiRnpmFIV5Tm4BIs8l', '0KEL9I60FHUhaPzRxuCHRT', '3gacryguGmpmCvgPGt2CBI']",7,1,False,0.0682,0.139,5,-20.683000000000003,1,0.042,0.946,0.897,0.136,0.0395,71.507,503960,3.0,1956,1956,0
3AGOY5u2zvA4saVn5Lf905,Bullies,Bullies,1pUtfDzNtEbEIEwD6sn4bQ,['Acid Tongue'],['40Lbiq9N6jsxYezjnzCaKc'],3,1,False,0.514,0.8290000000000001,5,-3.941,1,0.0342,0.00202,0.0132,0.218,0.823,92.974,178507,4.0,2020,2020-03-13,8
5GR14GODkGqTN9MSl3GKiV,I Know What I Know And That Is All That I Know And I Know it,Coming Attractions,14Zvc4wCGdCW1K26x1sL0F,['Adrian Belew'],['67ACRXvvMXGf3zGJMefM63'],6,1,False,0.835,0.5920000000000001,1,-9.912,1,0.344,0.61,0.336,0.122,0.608,125.8,147107,4.0,2000,2000,2
1eFbgICLaZ3jtGFlI9YJCo,Squeaky,Reconditioned,0amMW2WoOhZq2JIAQEkUPO,['Rare Medium'],['78gVX8fGKNZF0ZYtPoqSYh'],5,1,False,0.51,0.579,2,-7.779,0,0.0831,0.58,0.889,0.0977,0.72,199.579,311787,4.0,2007,2007-01-01,0
2eyMhM2oLy2VFjCC8l78Hu,Mona Lisa Waits,Mona Lisa Cafe,5VQWdzqsTwnei7rXV4WOws,['Cliff Eberhardt'],['1LpAlKD69cCn6ygqov2bGs'],2,1,False,0.509,0.281,9,-11.077,1,0.0319,0.281,0.0,0.273,0.28,130.97,328907,4.0,2005,2005-06-20,0
0UGJIJjXBVzJYiQED5vvKL,Healing,The Listening Heart,3ERQvSnezDHCtBKg24BCc0,['Betsy Grant'],['5UwKtmQCfNTXHIGyEuJxas'],11,1,False,0.341,0.0929,0,-26.74,1,0.0392,0.994,0.897,0.1159999999999999,0.0792,130.755,114533,4.0,2006,2006-01-01,0
4kcUqtJA2xvNU4znqFNOU4,Nothing Lasts Forever,Nothing Lasts Forever,5NUqjnwZoDACkKlFUZaiVP,['Ataraxis Vibration'],['0DEDEUlaPWEcmX8ZDlz8YO'],1,1,False,0.395,0.7509999999999999,4,-7.077000000000001,0,0.0453,0.00861,4.96e-06,0.286,0.286,106.988,363797,4.0,2013,2013-03-18,0
44AVClP4fKFDwDaDTduh3U,From the Realm of the Shadow: Act II Scene 2: At Play,Mohr: From the Realm of the Shadow,51JqOY3DeN2LO1aVwgB8b0,"['Christopher Mohr', 'Lilia Grevtzova', 'Emily Herrera', 'Ukraine National Symphony Choir', 'Ukraine National Symphony Orchestra', 'Theodore Kuchar']","['5DXr5l0MaSwYu2AKb2Q6Sw', '1fMlBuY1KdYqPd5bmTFUiv', '2u19FQLjAJbRD0zlHAeSoN', '4OteDuL6CmIfRZwhiyQaEV', '0yqwhapWYzRkT5u7fcI5Ai', '7oFubvRIriTCF1yfzJm5RC']",15,1,False,0.346,0.123,2,-23.154,1,0.0364,0.89,0.0126,0.166,0.297,108.205,184013,4.0,2001,2001-03-01,0
17EFXJxs0HifqTt7xuaVoG,Mi Cambio,The Latin Album,4pHaVO6tLGd8NQXi7aHt1H,"['César Villalobos L. (b. 1960)', 'Keith Lockhart']","['2zbXrxYI9C9VoRN6FTnbAJ', '3xXehPffJ4rtaaCbqDwVJ3']",6,1,False,0.283,0.176,2,-19.385,0,0.0378,0.954,0.828,0.0955,0.204,131.244,300400,4.0,1999,1999-11-26,0
5wZPEd3p05Cwmsxo2U12Xx,Walk Up,Gangland Landlord,3RbAlscRbQCjo39vk36uex,['Mozzy'],['4AA474G2hRfrHyGrfyDseO'],12,1,True,0.594,0.687,7,-9.31,0,0.4270000000000001,0.362,0.0,0.242,0.662,94.635,158710,4.0,2018,2018-10-05,31
